,,,
,,,
,IGTA3,Date,Close
,,10/01/2020 16:56:00,"54,74"
,,17/01/2020 16:56:00,"55,5"
,,24/01/2020 16:56:00,"54,9"
,,31/01/2020 16:56:00,"53,3"
,,07/02/2020 16:56:00,"53,77"
,,14/02/2020 16:56:00,"54,91"
,,21/02/2020 16:56:00,"55,95"
,,28/02/2020 16:56:00,"49,83"
,,06/03/2020 16:56:00,"47,93"
,,13/03/2020 16:56:00,"37,05"
,,20/03/2020 16:56:00,28
,,27/03/2020 16:56:00,"34,73"
,,03/04/2020 16:56:00,"28,82"
,,09/04/2020 16:56:00,"30,71"
,,17/04/2020 16:56:00,"31,5"
,,24/04/2020 16:56:00,"32,34"
,,30/04/2020 16:56:00,"32,92"
,,08/05/2020 16:56:00,"28,72"
,,15/05/2020 16:56:00,"28,45"
,,22/05/2020 16:56:00,"32,71"
,,29/05/2020 16:56:00,"32,59"
,,05/06/2020 16:56:00,"37,39"
,,12/06/2020 16:56:00,"35,78"
,,19/06/2020 16:56:00,36
,,26/06/2020 16:56:00,"33,09"
,,03/07/2020 16:56:00,"34,46"
,,10/07/2020 16:56:00,"36,54"
,,17/07/2020 16:56:00,"35,63"
,,24/07/2020 16:56:00,"33,68"
,,31/07/2020 16:56:00,"33,55"
,,07/08/2020 16:56:00,"35,85"
,,14/08/2020 16:56:00,"34,77"
,,21/08/2020 16:56:00,"34,14"
,,28/08/2020 16:56:00,"33,63"
,,04/09/2020 16:56:00,"34,53"
,,11/09/2020 16:56:00,"34,11"
,,18/09/2020 16:56:00,"35,45"
,,25/09/2020 16:56:00,"31,69"
,,02/10/2020 16:56:00,"31,25"
,,09/10/2020 16:56:00,"32,4"
,,16/10/2020 16:56:00,"32,14"
,,23/10/2020 16:56:00,"33,45"
,,30/10/2020 16:56:00,"29,99"
,,06/11/2020 16:56:00,"33,98"
,,13/11/2020 16:56:00,"35,15"
,,20/11/2020 16:56:00,"33,7"
,,27/11/2020 16:56:00,"36,98"
,,04/12/2020 16:56:00,"38,3"
,,11/12/2020 16:56:00,"39,2"
,,18/12/2020 16:56:00,"38,27"
,,23/12/2020 16:56:00,"36,96"
,,30/12/2020 16:56:00,"37,15"